"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R504","0R","Top","RES_0402","43.7750","31.5500","270","Resistor SMD 0402"
"D404","D_BI_TVS_SOD_323","Top","SOD-323","41.7500","37.9000","270","Bidirectional TVS Diode SMD SOD-323"
"D403","D_BI_TVS_SOD_323","Top","SOD-323","13.8000","9.9000","90","Bidirectional TVS Diode SMD SOD-323"
"D402","D_BI_TVS_SOD_323","Top","SOD-323","9.2000","9.9000","90","Bidirectional TVS Diode SMD SOD-323"
"U401","STM32F405RGT6","Top","STM-LQFP64_M","55.2000","45.0000","0","MCU 32-bit STM32F ARM Cortex M4F RISC 1024KB Flash 2.5V/3.3V 64-Pin LQFP Tray"
"X402","32.768kHz 12.5pF","Top","XTAL_FC-135_EPS","42.7500","51.0120","180","32.768kHz Crystal Oscillator (JLCPCB C32346)"
"X401","25MHz 12pF","Top","XTAL_3225","41.5000","45.2500","270","Crystal SMD 25MHz 10PPM 12pF 3225 X322525MOB4SI YXC JLCPCB C9006"
"U501","LDK220M30R","Top","SOT23-5L_1P75X3P05X0P95_STM","65.5000","27.4250","180","200 mA low quiescent current and low noise LDO"
"U201","XC6206P332MR-G","Top","SOT-23_TOR","72.3000","27.1250","180","1uA 200mA 3.3V 6V Fixed Over Current Protection Positive SOT-23-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
"SW403","TS-1088-AR02016","Top","SW_TS-1088_XNP","38.6000","36.7500","270","Without Bracket 4mm 12V 3mm Round Button SPST 50mA SMD,4x3mm Tactile Switches RoHS"
"SW402","TS-1088-AR02016","Top","SW_TS-1088_XNP","16.7500","11.0000","90","Without Bracket 4mm 12V 3mm Round Button SPST 50mA SMD,4x3mm Tactile Switches RoHS"
"SW401","TS-1088-AR02016","Top","SW_TS-1088_XNP","6.2500","11.0000","90","Without Bracket 4mm 12V 3mm Round Button SPST 50mA SMD,4x3mm Tactile Switches RoHS"
"R503","10k","Top","RES_0402","44.2250","29.9500","180","Resistor SMD 0402"
"R502","51R","Top","RES_0805","46.2500","26.3250","90","Resistor SMD 0805"
"R501","10k","Top","RES_0402","59.4500","33.6250","90","Resistor SMD 0402"
"R408","10k","Top","RES_0402","65.8000","36.8750","180","Resistor SMD 0402"
"R407","0R","Top","RES_0402","46.2500","47.7500","0","Resistor SMD 0402"
"R406","10k","Top","RES_0402","55.2000","56.1000","90","Resistor SMD 0402"
"R405","1k","Top","RES_0402","65.8000","39.6500","180","Resistor SMD 0402"
"R404","10k","Top","RES_0402","43.1000","38.5000","270","Resistor SMD 0402"
"R403","10k","Top","RES_0402","16.7500","6.0000","270","Resistor SMD 0402"
"R402","10k","Top","RES_0402","6.2500","6.0000","270","Resistor SMD 0402"
"R401","0R","Top","RES_0402","44.2000","44.2000","90","Resistor SMD 0402"
"R202","5k1","Top","RES_0402","98.6000","3.0000","180","Resistor SMD 0402"
"R201","5k1","Top","RES_0402","98.6000","8.6000","180","Resistor SMD 0402"
"Q501","AO3400A","Top","FP-SOT23-MFG","46.2250","23.0250","90","MOSFET N-CH 30V 5.7A SOT23"
"Q301","HL2305","Top","TO-236_VIS","45.7500","56.0000","0","P-CHANNEL 20-V (D-S) MOSFET SI2301CDS-T1-GE3 (PLACEHOLDER FOR ACTUAL PART HL2305 LCSC C28646261)"
"J201","TYPE-C-31-M-12","Top","CONN12_C-31-M-12_HRO","105.4520","5.8200","90","USB Type-C Connector JLCPCB C165948"
"FB201","120R","Top","FP-BLM18-0_15-t0_8-IPC_A","80.0000","3.0000","180","Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A BLM18PG121SN1D"
"F201","MINISMDC020F-2","Top","FP-MINISMDC020F-2-MFG","89.2500","3.0000","180","PTC RESET FUSE 30V 200MA 1812"
"D401","LED_0603_RED","Top","LED_0603_RED","65.5000","38.2500","180","LED 0603 RED SMD"
"D201","USBLC6-2SC6","Top","SOT-23-6","98.6000","5.8000","90","Low-Capacitance ESD Protection USB"
"C504","10u","Top","CAP_0603","50.9000","32.9250","180","Capacitor SMD 0603"
"C503","2u2","Top","CAP_0402","51.0500","34.2250","180","Capacitor SMD 0402"
"C502","2u2","Top","CAP_0402","62.5000","24.5500","270","Capacitor SMD 0402"
"C501","2u2","Top","CAP_0402","68.5000","25.3000","270","Capacitor SMD 0402"
"C407","15p 50V","Top","CAP_0402","41.0000","53.0000","180","Capacitor SMD 0402"
"C406","15p 50V","Top","CAP_0402","44.5000","53.0000","0","Capacitor SMD 0402"
"C405","100n","Top","CAP_0402","44.2750","38.5250","270","Capacitor SMD 0402"
"C404","2u2","Top","CAP_0402","59.0000","37.2000","0","Capacitor SMD 0402"
"C403","2u2","Top","CAP_0402","63.3000","51.5500","90","Capacitor SMD 0402"
"C402","14p 50V","Top","CAP_0402","41.5000","42.2500","0","Capacitor SMD 0402"
"C401","14p 50V","Top","CAP_0402","41.5000","48.3000","180","Capacitor SMD 0402"
"C308","100n","Top","CAP_0402","51.7000","53.2000","0","Capacitor SMD 0402"
"C307","100n","Top","CAP_0402","61.7000","51.1000","0","Capacitor SMD 0402"
"C306","100n","Top","CAP_0402","61.7500","39.0000","0","Capacitor SMD 0402"
"C305","100n","Top","CAP_0402","48.7500","39.0000","270","Capacitor SMD 0402"
"C304","100n","Top","CAP_0402","47.5000","43.0000","90","Capacitor SMD 0402"
"C303","10u","Top","CAP_0603","51.9750","54.6750","180","Capacitor SMD 0603"
"C302","100n","Top","CAP_0402","47.5500","50.8750","180","Capacitor SMD 0402"
"C301","10u","Top","CAP_0603","47.4250","52.1750","180","Capacitor SMD 0603"
"C205","1u","Top","CAP_0402","69.3000","32.7000","90","Capacitor SMD 0402"
"C204","1u","Top","CAP_0402","71.0500","24.0250","180","Capacitor SMD 0402"
"C203","2u2","Top","CAP_0402","77.5000","5.0000","90","Capacitor SMD 0402"
"C202","2u2","Top","CAP_0402","82.5000","5.0000","90","Capacitor SMD 0402"
"C201","100n","Top","CAP_0402","100.8750","10.0000","90","Capacitor SMD 0402"
"BT301","MY-2032-28","Top","MY-2032-28","34.0000","12.0000","180","Battery clip Nickel Phosphor Bronze CR2032 SMD Button And Strip Battery Connector ROHS"
